Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1.57E+12,3158.904785,-16856.76953,0,0,0,0,-6606.258789,9821.333984,Rest
1.57E+12,3156.200195,-16901.44922,0,0,0,0,-6875.843262,9806.894531,Rest
1.57E+12,3144.443359,-16925.41016,0,0,0,0,-7841.662109,9803.207031,Rest
1.57E+12,3139.324707,-16910.0332,0,0,0,0,-7778.898438,9812.393555,Rest
1.57E+12,3153.451172,-16861.35156,0,0,0,0,-6779.10498,9822.988281,Rest
1.57E+12,3148.779541,-16897.33789,0,0,0,0,-6660.260742,9808.794922,Rest
1.57E+12,3132.999268,-16936.87695,0,0,0,0,-7767.61084,9806.335938,Rest
1.57E+12,3137.0896,-16916.82813,0,0,0,0,-7842.310547,9821.736328,Rest
1.57E+12,3147.594971,-16872.05664,0,0,0,0,-7008.635254,9827.681641,Rest
1.57E+12,3155.976807,-16878.51758,0,0,0,0,-6500.691895,9819.367188,Rest
1.57E+12,3130.49585,-16906.63477,0,0,0,0,-7603.772461,9804.123047,Rest
1.57E+12,3152.601563,-16859.40625,0,0,0,0,-6478.518555,9815.879883,Rest
1.57E+12,3139.950684,-16912.82617,0,0,0,0,-7033.311523,9803.207031,Rest
1.57E+12,3127.880615,-16926.10352,0,0,0,0,-7867.880859,9809.129883,Rest
1.57E+12,3137.0896,-16898.90234,0,0,0,0,-7709.675293,9826.80957,Rest
1.57E+12,3155.976807,-16848.00586,0,0,0,0,-6631.672852,9837.918945,Rest
1.57E+12,3144.018555,-16898.07422,0,0,0,0,-6793.834961,9818.092773,Rest
1.57E+12,3130.562744,-16928.80859,0,0,0,0,-7818.282227,9816.349609,Rest
1.57E+12,3136.977783,-16908.96094,0,0,0,0,-7793.494141,9832.040039,Rest
1.57E+12,3157.921387,-16857.61719,0,0,0,0,-6828.882324,9848.647461,Rest
1.57E+12,3154.412109,-16884.88672,0,0,0,0,-6598.391113,9841.00293,Rest
1.57E+12,3130.093506,-16932.27344,0,0,0,0,-7720.895996,9827.033203,Rest
1.57E+12,3129.914551,-16917.72266,0,0,0,0,-7839.628418,9835.080078,Rest
1.57E+12,3142.386963,-16869.77734,0,0,0,0,-7041.961426,9845.339844,Rest
1.57E+12,3147.773682,-16873.59961,0,0,0,0,-6446.019531,9837.31543,Rest
1.57E+12,3126.807861,-16927.55664,0,0,0,0,-7593.065918,9818.696289,Rest
1.57E+12,3133.982666,-16912.26758,0,0,0,0,-7870.898438,9824.172852,Rest
1.57E+12,3142.40918,-16873.48828,0,0,0,0,-7258.773438,9827.324219,Rest
1.57E+12,3153.071045,-16859.85352,0,0,0,0,-6391.727051,9820.931641,Rest
1.57E+12,3139.883545,-16921.0293,0,0,0,0,-7420.64502,9800.099609,Rest
1.57E+12,3142.945801,-16917.63281,0,0,0,0,-7890.456055,9805.6875,Rest
1.57E+12,3151.126465,-16884.77539,0,0,0,0,-7464.297852,9818.584961,Rest
1.57E+12,3161.631836,-16853.97461,0,0,0,0,-6402.411133,9818.807617,Rest
1.57E+12,3136.977783,-16921.52148,0,0,0,0,-7192.388672,9796.098633,Rest
1.57E+12,3129.355957,-16926.68555,0,0,0,0,-7895.686523,9802.043945,Rest
1.57E+12,3136.039063,-16897.31445,0,0,0,0,-7631.600586,9817.801758,Rest
1.57E+12,3155.082764,-16850.5332,0,0,0,0,-6508.470215,9828.151367,Rest
1.57E+12,3145.471436,-16903.64063,0,0,0,0,-6967.574707,9817.109375,Rest
1.57E+12,3133.133301,-16922.66211,0,0,0,0,-7851.765137,9820.171875,Rest
1.57E+12,3133.468506,-16904.19922,0,0,0,0,-7713.608887,9833.09082,Rest
1.57E+12,3146.186768,-16856.94727,0,0,0,0,-6659.612793,9842.992188,Rest
1.57E+12,3139.168213,-16897.89648,0,0,0,0,-6733.95459,9828.777344,Rest
1.57E+12,3127.210205,-16928.91992,0,0,0,0,-7785.581543,9825.066406,Rest
