Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1566515574416,12271.30859375,-5285.337890625,-12235.322265625,-10220.3349609375,-6410.85986328125,0,-30504.564453125,-1566.4996337890625,RestSSVEP
1566515574416,12308.345703125,-5288.06494140625,-12235.3447265625,-10219.6640625,-6396.71142578125,0,-30507.6484375,-1567.3489990234375,RestSSVEP
1566515574416,12294.9345703125,-5298.23486328125,-12235.0986328125,-10211.6845703125,-6378.6064453125,0,-30518.310546875,-1577.3402099609375,RestSSVEP
1566515574416,12244.798828125,-5293.9658203125,-12236.037109375,-10214.076171875,-6389.67041015625,0,-30515.13671875,-1581.1846923828125,RestSSVEP
1566515574416,12261.33984375,-5279.88427734375,-12233.82421875,-10217.5634765625,-6406.2109375,0,-30499.357421875,-1565.672607421875,RestSSVEP
1566515574416,12310.2001953125,-5283.03564453125,-12228.7509765625,-10209.78515625,-6391.90576171875,0,-30500.876953125,-1562.364501953125,RestSSVEP
1566515574417,12301.662109375,-5294.41259765625,-12229.4658203125,-10204.8896484375,-6379.0087890625,0,-30512.8125,-1570.6123046875,RestSSVEP
1566515574418,12260.8701171875,-5292.7587890625,-12233.35546875,-10211.103515625,-6386.5634765625,0,-30510.734375,-1569.91943359375,RestSSVEP
1566515574419,12257.6064453125,-5275.927734375,-12227.07421875,-10211.6396484375,-6403.90869140625,0,-30493.27734375,-1558.184814453125,RestSSVEP
1566515574419,12317.017578125,-5277.11279296875,-12223.5205078125,-10206.1865234375,-6393.06787109375,0,-30495.37890625,-1556.91064453125,RestSSVEP
1566515574522,12247.1689453125,-5289.22705078125,-12228.99609375,-10218.2783203125,-6402.85791015625,0,-30503.8046875,-1570.366455078125,RestSSVEP
1566515574522,12289.681640625,-5286.81298828125,-12228.28125,-10218.859375,-6411.48583984375,0,-30501.837890625,-1567.21484375,RestSSVEP
1566515574523,12314.759765625,-5291.171875,-12225.9345703125,-10209.0244140625,-6390.4306640625,0,-30503.669921875,-1567.572509765625,RestSSVEP
1566515574523,12293.2578125,-5302.705078125,-12232.4609375,-10211.5732421875,-6379.74658203125,0,-30513.080078125,-1576.267333984375,RestSSVEP
1566515574523,12241.826171875,-5300.3134765625,-12238.451171875,-10222.3017578125,-6404.48974609375,0,-30508.498046875,-1576.31201171875,RestSSVEP
1566515574523,12274.68359375,-5287.48388671875,-12227.9912109375,-10212.869140625,-6409.3623046875,0,-30498.41796875,-1567.8406982421875,RestSSVEP
1566515574523,12314.3359375,-5291.3955078125,-12226.314453125,-10207.974609375,-6393.51513671875,0,-30500.451171875,-1562.5880126953125,RestSSVEP
1566515574523,12294.822265625,-5306.21435546875,-12234.71875,-10215.484375,-6385.0439453125,0,-30513.728515625,-1576.7366943359375,RestSSVEP
1566515574523,12243.48046875,-5308.29345703125,-12243.033203125,-10226.2353515625,-6396.6220703125,0,-30514.7578125,-1580.849365234375,RestSSVEP
1566515574523,12255.662109375,-5296.5810546875,-12237.490234375,-10224.4248046875,-6412.0224609375,0,-30502.6640625,-1567.572509765625,RestSSVEP
1566515574558,12308.255859375,-5301.1630859375,-12232.3046875,-10216.69140625,-6402.7685546875,0,-30509.4140625,-1571.6405029296875,RestSSVEP
1566515574558,12296.6103515625,-5311.44482421875,-12235.9482421875,-10216.6689453125,-6390.4306640625,0,-30516.43359375,-1576.1778564453125,RestSSVEP
1566515574558,12247.4814453125,-5319.916015625,-12244.44140625,-10224.24609375,-6396.71142578125,0,-30525.57421875,-1594.260498046875,RestSSVEP
1566515574558,12237.53515625,-5307.64501953125,-12242.9892578125,-10228.2919921875,-6421.92431640625,0,-30514.443359375,-1586.4150390625,RestSSVEP
1566515574559,12303.5615234375,-5299.9560546875,-12234.71875,-10218.345703125,-6401.49462890625,0,-30505.50390625,-1565.761962890625,RestSSVEP
1566515574559,12296.8115234375,-5311.64599609375,-12238.25,-10217.4736328125,-6386.4072265625,0,-30512.923828125,-1569.964111328125,RestSSVEP
1566515574559,12257.0478515625,-5321.86083984375,-12245.044921875,-10223.330078125,-6392.2412109375,0,-30523.564453125,-1584.2916259765625,RestSSVEP
1566515574559,12228.8623046875,-5310.193359375,-12248.0849609375,-10234.9970703125,-6425.8359375,0,-30515.337890625,-1583.6434326171875,RestSSVEP
1566515574559,12298.1748046875,-5308.24853515625,-12244.1513671875,-10226.861328125,-6416.89501953125,0,-30514.35546875,-1576.6920166015625,RestSSVEP
1566515574559,12317.8447265625,-5321.21240234375,-12238.8984375,-10219.306640625,-6397.44921875,0,-30520.501953125,-1580.8046875,RestSSVEP
1566515574594,12257.2265625,-5313.21044921875,-12243.4580078125,-10224.2685546875,-6394.6103515625,0,-30527.876953125,-1588.91845703125,RestSSVEP
1566515574595,12217.865234375,-5303.44287109375,-12247.66015625,-10235.3994140625,-6422.5947265625,0,-30519.33984375,-1587.91259765625,RestSSVEP
1566515574595,12281.43359375,-5297.3408203125,-12239.748046875,-10223.576171875,-6414.92822265625,0,-30516.634765625,-1588.5831298828125,RestSSVEP
1566515574595,12304.8359375,-5299.21826171875,-12231.947265625,-10213.115234375,-6397.046875,0,-30517.640625,-1584.358642578125,RestSSVEP
1566515574595,12279.8017578125,-5312.361328125,-12238.541015625,-10218.412109375,-6388.93310546875,0,-30524.078125,-1583.71044921875,RestSSVEP
1566515574595,12231.947265625,-5305.63330078125,-12242.1845703125,-10229.1640625,-6412.89404296875,0,-30518.04296875,-1587.5772705078125,RestSSVEP
1566515574595,12269.654296875,-5297.05029296875,-12235.5458984375,-10222.837890625,-6414.7939453125,0,-30507.939453125,-1575.663818359375,RestSSVEP
1566515574596,12297.125,-5307.01904296875,-12234.0478515625,-10217.5859375,-6397.31494140625,0,-30513.326171875,-1574.8367919921875,RestSSVEP
1566515574596,12273.521484375,-5324.60986328125,-12242.6982421875,-10221.5419921875,-6387.8154296875,0,-30529.7109375,-1590.6395263671875,RestSSVEP
1566515574596,12226.4931640625,-5320.720703125,-12250.9013671875,-10231.98046875,-6407.216796875,0,-30531.677734375,-1605.10107421875,RestSSVEP
1566515574632,12258.724609375,-5306.88525390625,-12244.798828125,-10230.4375,-6414.05615234375,0,-30521.23828125,-1597.90380859375,RestSSVEP
1566515574632,12303.0029296875,-5303.5322265625,-12235.634765625,-10220.826171875,-6394.52099609375,0,-30504.564453125,-1561.5374755859375,RestSSVEP
1566515574632,12289.7490234375,-5312.62939453125,-12233.6005859375,-10214.880859375,-6384.1943359375,0,-30514.35546875,-1569.0030517578125,RestSSVEP
1566515574632,12246.3193359375,-5311.5791015625,-12232.39453125,-10215.9990234375,-6393.6494140625,0,-30515.6953125,-1579.6201171875,RestSSVEP
1566515574632,12251.6611328125,-5299.7099609375,-12228.9296875,-10215.23828125,-6409.384765625,0,-30503.55859375,-1569.8076171875,RestSSVEP
1566515574632,12303.8076171875,-5303.3984375,-12227.87890625,-10209.94140625,-6395.86181640625,0,-30506.1953125,-1565.9854736328125,RestSSVEP
1566515574632,12296.275390625,-5312.49560546875,-12234.025390625,-10213.16015625,-6384.1943359375,0,-30514.98046875,-1575.0379638671875,RestSSVEP
1566515574632,12253.5390625,-5315.7587890625,-12237.2216796875,-10217.7421875,-6385.87060546875,0,-30518.265625,-1582.056396484375,RestSSVEP
1566515574633,12244.7548828125,-5300.5146484375,-12228.37109375,-10214.8359375,-6404.13232421875,0,-30505.75,-1575.2838134765625,RestSSVEP
1566515574633,12306.2890625,-5298.45849609375,-12223.296875,-10211.818359375,-6398.07470703125,0,-30510.3984375,-1576.5355224609375,RestSSVEP
1566515574667,12303.271484375,-5313.92578125,-12234.0927734375,-10221.162109375,-6395.5712890625,0,-30528.458984375,-1592.9193115234375,RestSSVEP
1566515574668,12268.044921875,-5318.46337890625,-12237.2216796875,-10218.5244140625,-6381.5791015625,0,-30529.95703125,-1594.260498046875,RestSSVEP
1566515574668,12242.8994140625,-5300.87255859375,-12234.427734375,-10222.078125,-6403.90869140625,0,-30516.25390625,-1592.0252685546875,RestSSVEP
1566515574669,12297.9736328125,-5300.1796875,-12232.013671875,-10218.814453125,-6399.72900390625,0,-30510.443359375,-1572.5345458984375,RestSSVEP
1566515574669,12298.6220703125,-5318.06103515625,-12237.5126953125,-10222.6591796875,-6394.29736328125,0,-30525.396484375,-1583.263427734375,RestSSVEP
1566515574670,12259.9541015625,-5334.35546875,-12244.6650390625,-10227.5771484375,-6387.5693359375,0,-30540.55078125,-1599.848388671875,RestSSVEP
1566515574670,12224.951171875,-5317.45751953125,-12236.796875,-10227.15234375,-6401.9638671875,0,-30522.69140625,-1592.0924072265625,RestSSVEP
1566515574670,12277.298828125,-5310.23779296875,-12227.23046875,-10218.45703125,-6396.30908203125,0,-30514.890625,-1579.7989501953125,RestSSVEP
1566515574671,12303.0927734375,-5310.81884765625,-12220.234375,-10207.6162109375,-6376.662109375,0,-30514.3984375,-1577.8319091796875,RestSSVEP
1566515574671,12270.615234375,-5332.298828125,-12236.328125,-10219.8203125,-6378.427734375,0,-30534.158203125,-1594.9757080078125,RestSSVEP
1566515574704,12224.7724609375,-5318.88818359375,-12232.70703125,-10219.6416015625,-6390.94482421875,0,-30517.529296875,-1582.861083984375,RestSSVEP
1566515574704,12265.8095703125,-5308.85205078125,-12217.8203125,-10204.353515625,-6388.15087890625,0,-30508.119140625,-1571.6405029296875,RestSSVEP
1566515574705,12290.5751953125,-5323.87255859375,-12222.849609375,-10208.0185546875,-6384.26171875,0,-30521.328125,-1582.1458740234375,RestSSVEP
1566515574705,12278.259765625,-5327.47119140625,-12223.296875,-10205.515625,-6366.9833984375,0,-30521.619140625,-1579.91064453125,RestSSVEP
1566515574705,12235.9033203125,-5309.1650390625,-12213.7529296875,-10198.564453125,-6369.263671875,0,-30499.53515625,-1564.6890869140625,RestSSVEP
1566515574705,12240.3515625,-5310.64013671875,-12215.697265625,-10202.9453125,-6387.10009765625,0,-30497.703125,-1563.862060546875,RestSSVEP
1566515574705,12267.6201171875,-5333.55078125,-12232.7958984375,-10217.138671875,-6389.3798828125,0,-30517.6171875,-1577.6978759765625,RestSSVEP
1566515574706,12269.609375,-5333.05908203125,-12230.4716796875,-10211.103515625,-6368.50341796875,0,-30515.986328125,-1571.30517578125,RestSSVEP
1566515574706,12232.0810546875,-5323.1796875,-12227.767578125,-10208.64453125,-6369.0400390625,0,-30506.642578125,-1565.7843017578125,RestSSVEP
1566515574706,12229.689453125,-5316.63037109375,-12234.6962890625,-10218.6357421875,-6397.13623046875,0,-30500.205078125,-1563.0350341796875,RestSSVEP
1566515574770,12286.26171875,-5320.81005859375,-12229.689453125,-10209.9189453125,-6387.0107421875,0,-30504.2734375,-1559.81640625,RestSSVEP
1566515574770,12278.6845703125,-5333.03662109375,-12233.712890625,-10210.0751953125,-6373.443359375,0,-30517.283203125,-1571.372314453125,RestSSVEP
1566515574770,12235.03125,-5334.9365234375,-12237.8251953125,-10214.166015625,-6375.29833984375,0,-30520.345703125,-1580.31298828125,RestSSVEP
1566515574770,12219.474609375,-5320.3857421875,-12236.171875,-10220.916015625,-6400.86865234375,0,-30506.30859375,-1573.3839111328125,RestSSVEP
1566515574771,12279.779296875,-5315.87060546875,-12223.8330078125,-10208.935546875,-6387.3681640625,0,-30499.78125,-1560.0845947265625,RestSSVEP
1566515574771,12282.73046875,-5325.3251953125,-12230.6279296875,-10209.2255859375,-6373.599609375,0,-30508.72265625,-1565.2255859375,RestSSVEP
1566515574771,12233.421875,-5343.81005859375,-12254.857421875,-10229.365234375,-6384.52978515625,0,-30526.826171875,-1582.50341796875,RestSSVEP
1566515574771,12206.8232421875,-5323.3359375,-12244.1953125,-10228.828125,-6402.74658203125,0,-30507.962890625,-1571.8863525390625,RestSSVEP
1566515574771,12269.4755859375,-5315.5576171875,-12235.6796875,-10218.703125,-6394.07373046875,0,-30501.390625,-1560.91162109375,RestSSVEP
1566515574772,12288.18359375,-5321.1904296875,-12233.6904296875,-10214.6796875,-6378.53955078125,0,-30506.240234375,-1562.5433349609375,RestSSVEP
1566515574806,12266.6142578125,-5330.86865234375,-12236.484375,-10215.0595703125,-6372.68310546875,0,-30516.1875,-1572.4228515625,RestSSVEP
