Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1567119040624,1933.1575927734375,0,-4129.529296875,-3101.77392578125,-19976.111328125,0,-6500.736328125,8467.4443359375,RestSSVEP
1567119040624,1939.3043212890625,0,-4117.3251953125,-3087.312255859375,-19950.205078125,0,-6502.390625,8470.9755859375,RestSSVEP
1567119040624,1956.582275390625,0,-4128.59033203125,-3095.783447265625,-20023.80859375,0,-6499.529296875,8488.2314453125,RestSSVEP
1567119040624,1966.5511474609375,0,-4149.109375,-3116.2578125,-20107.271484375,0,-6496.66845703125,8495.5849609375,RestSSVEP
1567119040624,1927.0108642578125,0,-4138.9169921875,-3113.709716796875,-20005.392578125,0,-6518.5732421875,8455.240234375,RestSSVEP
1567119040624,1927.033203125,0,-4130.7138671875,-3104.36669921875,-19963.080078125,0,-6531.44775390625,8442.2978515625,RestSSVEP
1567119040625,1947.5521240234375,0,-4138.80517578125,-3107.987548828125,-20018.7578125,0,-6527.02197265625,8458.1005859375,RestSSVEP
1567119040625,1958.6385498046875,0,-4170.23193359375,-3139.883544921875,-20130.673828125,0,-6530.9560546875,8461.900390625,RestSSVEP
1567119040625,1923.9039306640625,0,-4159.65966796875,-3139.794189453125,-20047.859375,0,-6544.9482421875,8430.98828125,RestSSVEP
1567119040625,1927.837890625,0,-4133.66455078125,-3112.92724609375,-19971.439453125,0,-6545.64111328125,8425.8701171875,RestSSVEP
1567119040660,1946.7474365234375,0,-4135.4970703125,-3110.602783203125,-20020.0546875,0,-6537.52734375,8439.99609375,RestSSVEP
1567119040660,1974.0389404296875,0,-4152.931640625,-3124.93017578125,-20124.4140625,0,-6527.44677734375,8458.212890625,RestSSVEP
1567119040660,1942.72412109375,0,-4154.42919921875,-3133.75927734375,-20069.2734375,0,-6541.79638671875,8426.7861328125,RestSSVEP
1567119040660,1930.385986328125,0,-4126.51171875,-3106.110107421875,-19966.455078125,0,-6547.83154296875,8413.7548828125,RestSSVEP
1567119040661,1941.673583984375,0,-4130.06591796875,-3107.920654296875,-19998.23828125,0,-6545.7529296875,8424.0595703125,RestSSVEP
1567119040661,1973.7930908203125,0,-4151.65771484375,-3126.830078125,-20110.736328125,0,-6531.1123046875,8452.4013671875,RestSSVEP
1567119040661,1942.0535888671875,0,-4164.107421875,-3146.186767578125,-20101.080078125,0,-6542.9140625,8431.14453125,RestSSVEP
1567119040661,1910.7835693359375,0,-4145.98046875,-3129.780517578125,-19987.01953125,0,-6557.26416015625,8407.541015625,RestSSVEP
1567119040661,1943.0594482421875,0,-4128.45654296875,-3106.53466796875,-19982.5703125,0,-6531.67138671875,8438.7666015625,RestSSVEP
1567119040662,1966.52880859375,0,-4146.38232421875,-3118.671630859375,-20080.1796875,0,-6517.45556640625,8466.1923828125,RestSSVEP
1567119040693,1946.32275390625,0,-4163.3701171875,-3138.900146484375,-20104.298828125,0,-6518.64013671875,8460.380859375,RestSSVEP
1567119040694,1904.54736328125,0,-4141.5322265625,-3120.683349609375,-19972.109375,0,-6532.67724609375,8430.8984375,RestSSVEP
1567119040694,1913.5103759765625,0,-4133.7314453125,-3109.060546875,-19965.494140625,0,-6528.47509765625,8439.83984375,RestSSVEP
1567119040694,1946.970947265625,0,-4144.7734375,-3115.2294921875,-20048.53125,0,-6513.67822265625,8466.0361328125,RestSSVEP
1567119040694,1949.8096923828125,0,-4164.84521484375,-3138.31884765625,-20110.17578125,0,-6511.755859375,8469.388671875,RestSSVEP
1567119040695,1907.14013671875,0,-4150.58447265625,-3129.512451171875,-19985.9453125,0,-6532.498046875,8433.3798828125,RestSSVEP
1567119040695,1919.43359375,0,-4138.89453125,-3114.000244140625,-19958.69921875,0,-6534.84521484375,8435.3916015625,RestSSVEP
1567119040695,1940.2655029296875,0,-4152.7529296875,-3123.14208984375,-20035.72265625,0,-6532.83349609375,8446.58984375,RestSSVEP
1567119040695,1946.680419921875,0,-4180.78173828125,-3149.6513671875,-20126.783203125,0,-6530.21826171875,8458.615234375,RestSSVEP
1567119040695,1894.7796630859375,0,-4175.88671875,-3151.081787109375,-20021.1953125,0,-6552.9052734375,8421.8916015625,RestSSVEP
1567119040727,1898.4453125,0,-4158.65380859375,-3129.065185546875,-19967.998046875,0,-6554.22412109375,8419.09765625,RestSSVEP
1567119040727,1923.1663818359375,0,-4164.3310546875,-3131.166259765625,-20026.87109375,0,-6545.931640625,8438.5205078125,RestSSVEP
1567119040728,1939.281982421875,0,-4189.76708984375,-3157.385009765625,-20138.294921875,0,-6539.65087890625,8452.4013671875,RestSSVEP
1567119040728,1891.6727294921875,0,-4190.43798828125,-3166.4375,-20061.896484375,0,-6558.60498046875,8415.185546875,RestSSVEP
1567119040728,1885.7271728515625,0,-4166.0966796875,-3142.4091796875,-19986.50390625,0,-6559.767578125,8409.44140625,RestSSVEP
1567119040728,1920.14892578125,0,-4161.40283203125,-3135.077880859375,-20019.025390625,0,-6542.82470703125,8434.966796875,RestSSVEP
1567119040729,1943.573486328125,0,-4184.0673828125,-3158.055419921875,-20136.373046875,0,-6533.66064453125,8455.6865234375,RestSSVEP
1567119040729,1907.1177978515625,0,-4185.05126953125,-3167.8232421875,-20092.474609375,0,-6548.43505859375,8424.6181640625,RestSSVEP
1567119040729,1891.1363525390625,0,-4154.42919921875,-3139.391845703125,-19980.08984375,0,-6553.3076171875,8413.4423828125,RestSSVEP
1567119040729,1908.190673828125,0,-4155.748046875,-3137.603759765625,-20008.0078125,0,-6547.25048828125,8429.0439453125,RestSSVEP
1567119040795,1898.311279296875,0,-4139.54296875,-3113.106201171875,-19982.19140625,0,-6540.9248046875,8421.82421875,RestSSVEP
1567119040796,1901.8427734375,0,-4130.46826171875,-3101.505615234375,-19958.9453125,0,-6550.8935546875,8415.990234375,RestSSVEP
1567119040796,1925.7591552734375,0,-4143.365234375,-3112.681396484375,-20037.01953125,0,-6549.552734375,8424.88671875,RestSSVEP
1567119040796,1942.8135986328125,0,-4164.7109375,-3136.8212890625,-20131.298828125,0,-6542.1767578125,8432.6201171875,RestSSVEP
1567119040796,1889.6611328125,0,-4161.693359375,-3140.464599609375,-20029.732421875,0,-6561.66748046875,8395.7841796875,RestSSVEP
1567119040797,1892.3880615234375,0,-4148.81884765625,-3125.93603515625,-19976.892578125,0,-6564.4833984375,8396.7451171875,RestSSVEP
1567119040797,1910.3812255859375,0,-4160.3525390625,-3133.401611328125,-20037.19921875,0,-6560.9072265625,8412.3466796875,RestSSVEP
