epoch,acc,loss,val_acc,val_loss
0,0.38206933198386506,1.0917699211800134,0.4281250065347801,1.0645999150971572
1,0.3885848392747733,1.083650837225438,0.4052083392161876,1.0594391574462254
2,0.4000521306339763,1.0716335336957588,0.39583333969737095,1.0535430181771517
3,0.41334376578719967,1.061276070488161,0.4312500060380747,1.0427610638240974
4,0.4078707386110175,1.0604944642335137,0.43750000667447847,1.0339253780742486
5,0.4117800430383787,1.0444418118899148,0.4239583401164661,1.023705896611015
6,0.4201198921776514,1.0297427322207748,0.4458333399767677,1.024216170112292
7,0.42872036136405245,1.0211894469923546,0.4406250073419263,1.011527465035518
8,0.42741725915556994,1.0254859915617267,0.438541673667108,0.9866400075455507
9,0.4357571093822352,1.0176134413345612,0.44791667357397574,0.9935970411946377
10,0.4396664127882241,1.010646027732026,0.44375000645716983,1.0037296259154875
11,0.430805323884796,1.016771495637404,0.45312500768341124,1.00931004434824
12,0.4381026919811754,1.009441101057069,0.43437500623986125,1.021167582521836
13,0.44044827358981176,1.0051746772141514,0.46875000667447847,1.014485003426671
14,0.44227261568283954,1.0130950186070533,0.4614583396663268,0.9928133022040129
15,0.4409695148840838,1.004920380389532,0.4625000062709053,1.0086018405854702
16,0.44461819772254935,1.0132339787663411,0.44479167422590155,0.9879381066809098
17,0.4417513747186688,1.0071781759371445,0.4468750062709053,1.0067988702406485
18,0.4545217690086936,0.999491962598642,0.47604167539005476,0.9735531850407521
19,0.45165494551937,0.9936765686186273,0.46979167374471825,0.9718313018480936
20,0.4568673499532438,0.9909670257245249,0.45625000648821395,0.9695068119714657
21,0.45035184411866486,0.9934630154755577,0.4645833398681134,0.9625099475185076
22,0.4482668817765644,0.994122014105988,0.4697916752969225,0.9759017390509447
23,0.4568673508115072,0.9899839131136813,0.45416667490887147,0.9646380556126436
24,0.4576492110111454,0.9823832460483723,0.45312500845951337,0.9744121885548035
25,0.4649465806725934,0.9822214388555308,0.4625000072022279,0.9700023879607519
26,0.4542611484916564,0.9811257846131125,0.47812500852160156,0.9714590522150198
